1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
12,3,49,1,4,1,3212,677,7,7,11,7,2,0,8,1,0
19,3,56,1,4,1,3212,677,7,7,11,7,2,0,8,1,0
15,6,52,1,4,1,3255,677,7,7,11,7,2,0,8,1,0
23,6,59,1,4,1,3255,677,7,7,11,7,2,0,8,1,0
11,6,31,1,4,1,3294,677,7,7,11,7,2,0,8,1,0
30,6,38,1,4,1,3294,677,7,7,11,7,2,0,8,1,0
7,6,45,1,4,1,3294,677,7,7,11,7,2,0,8,1,0
4,3,42,1,4,1,3409,677,7,7,11,7,2,0,8,1,0
27,3,35,1,4,1,3460,677,7,7,11,7,2,0,8,1,0
16,0,53,1,4,1,737,46,14,14,22,14,12,0,8,1,0
12,3,49,1,4,1,747,46,14,14,22,14,12,0,8,1,0
6,5,44,1,4,1,789,46,14,14,22,14,12,0,8,1,0
10,2,48,1,4,1,789,46,14,14,22,14,12,0,8,1,0
5,4,43,1,4,1,1403,46,14,14,22,14,12,0,8,1,0
26,2,34,1,4,1,1407,46,14,14,22,14,12,0,8,1,0
28,4,36,1,4,1,1407,46,14,14,22,14,12,0,8,1,0
24,0,60,1,4,1,1407,46,14,14,22,14,12,0,8,1,0
13,4,50,1,4,1,1422,46,14,14,22,14,12,0,8,1,0
2,1,40,1,4,1,1860,46,14,14,22,14,12,0,8,1,0
9,1,47,1,4,1,1860,46,14,14,22,14,12,0,8,1,0
29,5,37,1,4,1,1909,46,14,14,22,14,12,0,8,1,0
14,5,51,1,4,1,1919,46,14,14,22,14,12,0,8,1,0
4,3,42,1,4,1,1924,46,14,14,22,14,12,0,8,1,0
21,5,58,1,4,1,1969,46,14,14,22,14,12,0,8,1,0
23,6,59,1,4,1,2002,46,14,14,22,14,12,0,8,1,0
27,3,35,1,4,1,2007,46,14,14,22,14,12,0,8,1,0
18,2,55,1,4,1,2007,46,14,14,22,14,12,0,8,1,0
17,1,54,1,4,1,2043,46,14,14,22,14,12,0,8,1,0
3,2,41,1,4,1,2078,46,14,14,22,14,12,0,8,1,0
7,6,45,1,4,1,2141,46,14,14,22,14,12,0,8,1,0
15,6,52,1,4,1,2141,46,14,14,22,14,12,0,8,1,0
30,6,38,1,4,1,2188,46,14,14,22,14,12,0,8,1,0
8,0,46,1,4,1,2197,46,14,14,22,14,12,0,8,1,0
19,3,56,1,4,1,2264,46,14,14,22,14,12,0,8,1,0
20,4,57,1,4,1,2492,46,14,14,22,14,12,0,8,1,0
22,0,32,1,4,1,3002,46,14,14,22,14,12,0,8,1,0
25,1,33,1,4,1,3237,46,14,14,22,14,12,0,8,1,0
11,6,31,1,4,1,3316,46,14,14,22,14,12,0,8,1,0
0,5,30,1,4,1,3367,46,14,14,22,14,12,0,8,1,0
1,0,39,1,4,1,3436,46,14,14,22,14,12,0,8,1,0
10,2,48,1,4,1,2568,68,14,14,22,14,12,0,8,1,0
8,0,46,1,4,1,2588,68,14,14,22,14,12,0,8,1,0
22,0,32,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
26,2,34,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
2,1,40,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
5,4,43,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
6,5,44,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
13,4,50,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
18,2,55,1,4,1,3250,68,14,14,22,14,12,0,8,1,0
25,1,33,1,4,1,3255,68,14,14,22,14,12,0,8,1,0
15,6,52,1,4,1,3255,68,14,14,22,14,12,0,8,1,0
19,3,56,1,4,1,3255,68,14,14,22,14,12,0,8,1,0
23,6,59,1,4,1,3255,68,14,14,22,14,12,0,8,1,0
28,4,36,1,4,1,3260,68,14,14,22,14,12,0,8,1,0
3,2,41,1,4,1,3260,68,14,14,22,14,12,0,8,1,0
21,5,58,1,4,1,3260,68,14,14,22,14,12,0,8,1,0
0,5,30,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
27,3,35,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
29,5,37,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
12,3,49,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
14,5,51,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
16,0,53,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
24,0,60,1,4,1,3280,68,14,14,22,14,12,0,8,1,0
11,6,31,1,4,1,3294,68,14,14,22,14,12,0,8,1,0
30,6,38,1,4,1,3294,68,14,14,22,14,12,0,8,1,0
4,3,42,1,4,1,3294,68,14,14,22,14,12,0,8,1,0
7,6,45,1,4,1,3294,68,14,14,22,14,12,0,8,1,0
20,4,57,1,4,1,3294,68,14,14,22,14,12,0,8,1,0
1,0,39,1,4,1,3428,68,14,14,22,14,12,0,8,1,0
9,1,47,1,4,1,3456,68,14,14,22,14,12,0,8,1,0
15,6,52,1,4,1,737,90,14,14,22,14,12,0,8,1,0
23,6,59,1,4,1,747,90,14,14,22,14,12,0,8,1,0
2,1,40,1,4,1,753,90,14,14,22,14,12,0,8,1,0
6,5,44,1,4,1,753,90,14,14,22,14,12,0,8,1,0
7,6,45,1,4,1,753,90,14,14,22,14,12,0,8,1,0
18,2,55,1,4,1,766,90,14,14,22,14,12,0,8,1,0
16,0,53,1,4,1,774,90,14,14,22,14,12,0,8,1,0
21,5,58,1,4,1,779,90,14,14,22,14,12,0,8,1,0
3,2,41,1,4,1,785,90,14,14,22,14,12,0,8,1,0
20,4,57,1,4,1,785,90,14,14,22,14,12,0,8,1,0
28,4,36,1,4,1,1403,90,14,14,22,14,12,0,8,1,0
4,3,42,1,4,1,1403,90,14,14,22,14,12,0,8,1,0
5,4,43,1,4,1,1407,90,14,14,22,14,12,0,8,1,0
10,2,48,1,4,1,1407,90,14,14,22,14,12,0,8,1,0
13,4,50,1,4,1,1419,90,14,14,22,14,12,0,8,1,0
14,5,51,1,4,1,1419,90,14,14,22,14,12,0,8,1,0
17,1,54,1,4,1,1887,90,14,14,22,14,12,0,8,1,0
0,5,30,1,4,1,1919,90,14,14,22,14,12,0,8,1,0
30,6,38,1,4,1,1997,90,14,14,22,14,12,0,8,1,0
8,0,46,1,4,1,2002,90,14,14,22,14,12,0,8,1,0
22,0,32,1,4,1,2020,90,14,14,22,14,12,0,8,1,0
9,1,47,1,4,1,2078,90,14,14,22,14,12,0,8,1,0
27,3,35,1,4,1,2156,90,14,14,22,14,12,0,8,1,0
1,0,39,1,4,1,2156,90,14,14,22,14,12,0,8,1,0
26,2,34,1,4,1,2176,90,14,14,22,14,12,0,8,1,0
29,5,37,1,4,1,2197,90,14,14,22,14,12,0,8,1,0
19,3,56,1,4,1,2208,90,14,14,22,14,12,0,8,1,0
12,3,49,1,4,1,2297,90,14,14,22,14,12,0,8,1,0
