1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0,0,0,3,141,14,10,1,0,11,151,0,1,3,0,0,0,0,2,0,0,36,0,0,425,0,1,0,0,0,1,0,202,0,0,0,1,0,16,0,1,1,0,0,0,166,1,0,2,0,10,2,0,0,0,1,0,0,0,1,114,0
1,0,0,0,32,169,0,4,1,0,27,0,0,1,2,0,0,0,0,1,0,0,15,0,12,79,0,3,0,0,0,1,0,288,0,1,0,2,0,4,0,4,1,0,0,0,14,3,0,2,0,19,2,0,0,0,0,350,0,0,0,756,1
1,0,0,0,34,37,0,64,1,0,34,78,0,1,2,0,0,0,0,1,0,0,54,0,0,254,0,3,0,0,0,1,0,204,0,1,0,1,0,4,0,5,1,0,0,0,73,3,0,2,0,10,2,0,0,0,0,0,0,0,0,648,2
1,0,0,0,0,87,0,2,1,0,11,199,0,1,2,0,0,0,0,2,0,0,215,0,1,301,0,1,0,0,0,1,0,0,0,2,0,0,0,14,0,1,1,0,0,0,156,3,0,2,0,10,2,0,0,0,0,148,0,0,0,242,3
1,2,3,4,5,141,22,7,1,0,36,58,0,1,4,0,1,0,0,1,0,0,280,0,0,75,0,8,0,0,1,1,0,180,0,1,0,1,0,3,0,14,1,0,0,0,65,2,0,2,0,1,1,0,0,0,0,173,0,0,0,291,4
1,1,4,2,32,141,0,7,1,0,14,59,0,0,2,0,0,0,0,1,0,0,401,0,16,137,0,7,0,0,0,1,0,14,0,1,0,2,0,18,0,5,1,0,0,0,34,3,0,2,0,12,2,0,0,0,0,571,0,0,0,527,5
1,1,4,2,5,141,21,5,1,0,58,25,0,1,2,0,0,0,0,2,0,0,63,0,16,223,0,7,0,0,0,1,0,97,0,1,0,2,0,18,0,5,1,0,0,0,3,1,0,2,0,11,2,0,0,0,0,598,0,0,0,525,6
1,0,0,0,5,17,11,3,1,0,25,114,0,1,2,0,0,0,0,1,0,0,169,0,12,424,0,1,0,0,0,1,0,80,0,1,0,1,0,14,0,4,1,0,0,0,160,3,0,2,0,10,2,0,0,0,0,499,0,0,0,792,7
1,2,3,4,32,1,0,2,1,0,36,0,0,1,1,0,1,0,0,2,0,0,58,0,0,0,0,8,0,0,1,1,0,0,0,1,0,2,0,1,0,10,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,375,0,0,0,172,8
1,0,0,0,31,55,0,6,1,0,32,82,0,1,2,0,0,0,0,0,0,0,23,0,1,276,0,5,0,0,0,1,0,46,0,1,0,2,0,7,0,5,1,0,0,0,20,3,0,2,0,10,2,0,0,0,0,560,0,0,0,91,9
1,1,4,2,7,15,1,4,1,0,14,57,0,0,2,0,0,0,0,2,0,0,219,0,12,158,0,7,0,0,0,1,0,159,0,2,0,2,0,18,0,1,1,0,0,0,32,3,0,2,0,12,2,0,0,0,0,588,0,0,0,346,10
1,0,0,0,12,158,17,6,1,0,25,155,0,1,3,0,0,0,0,2,0,0,23,0,12,28,0,1,0,0,0,1,0,0,0,0,0,2,0,16,0,14,1,0,0,0,0,1,0,2,0,7,2,0,0,0,0,433,0,0,1,20,11
1,0,0,0,19,141,0,3,1,0,7,50,0,0,2,0,0,0,0,2,0,0,110,0,1,295,0,1,0,0,0,1,0,178,0,1,0,1,0,14,0,5,1,0,0,0,174,3,0,2,0,10,2,0,0,0,0,486,0,0,0,830,12
1,1,1,3,32,141,0,3,0,0,61,41,0,1,4,0,0,0,0,2,0,0,283,0,1,103,3,2,0,0,0,1,0,35,0,1,0,2,0,0,0,14,4,0,0,0,0,3,0,2,0,14,2,0,0,0,0,217,0,0,0,408,13
0,1,1,3,5,165,11,19,0,0,21,40,0,1,2,0,0,0,0,2,4,0,391,0,14,454,0,2,0,0,0,0,0,0,0,1,0,2,0,12,0,9,4,0,0,0,0,3,0,0,0,10,2,0,0,0,0,713,0,0,0,270,14
1,1,4,2,4,122,26,6,1,0,61,26,0,1,2,0,0,0,0,1,0,0,23,0,19,247,0,7,0,0,0,1,0,1,0,1,0,2,0,18,0,5,1,0,0,0,0,3,0,2,0,11,2,0,0,0,0,399,0,0,0,323,15
1,1,1,3,27,1,4,1,0,0,38,42,0,0,2,0,0,0,0,1,0,0,25,0,13,111,0,2,0,0,0,1,0,186,0,1,0,2,0,12,0,3,1,0,0,0,83,3,0,2,0,13,2,0,0,0,0,706,0,0,0,391,16
1,2,3,4,0,162,27,2,1,0,36,0,0,0,2,0,1,0,0,1,0,0,22,0,0,1,0,8,0,0,1,1,0,1,0,2,0,2,0,6,0,4,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,229,0,0,0,480,17
1,1,2,1,27,156,0,6,0,0,21,0,0,1,4,0,0,0,0,1,0,0,23,0,1,1,0,6,0,0,0,1,0,1,0,1,0,1,0,10,0,12,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,101,0,0,0,275,18
1,1,4,2,32,141,0,15,1,0,60,28,0,1,2,0,0,0,0,1,0,0,267,0,1,195,0,7,0,0,0,1,0,198,0,2,0,2,0,18,0,7,1,0,0,0,44,3,0,2,0,11,2,0,0,0,0,1,0,0,0,693,19
1,1,4,2,31,153,0,64,1,0,60,28,0,1,2,0,0,5,0,2,0,0,54,0,0,195,0,7,0,0,0,1,0,198,0,1,0,1,0,18,0,13,1,0,0,0,44,3,0,2,0,11,2,0,0,0,0,0,0,0,0,699,20
1,1,4,2,5,141,15,4,1,0,61,26,0,1,2,0,0,0,0,2,0,0,131,0,15,247,0,7,0,0,0,1,0,1,0,1,0,1,0,18,0,1,1,0,0,0,0,3,0,2,0,11,2,0,0,0,0,421,0,0,0,228,21
1,1,4,2,32,71,0,29,1,0,58,25,0,1,2,0,0,0,0,1,0,0,48,0,13,230,0,7,0,0,0,1,0,285,0,2,0,1,0,18,0,4,1,0,0,0,55,3,0,2,0,11,2,0,0,0,0,411,0,0,0,458,22
1,1,1,3,0,141,27,18,0,0,37,43,0,1,4,0,0,0,0,2,0,0,230,0,12,145,3,2,0,0,0,1,0,117,0,2,0,2,0,0,0,3,1,0,0,0,83,3,0,2,0,11,2,0,0,0,0,517,0,0,0,394,23
1,1,2,1,34,121,25,3,0,0,21,0,0,1,4,0,0,0,0,2,0,0,27,0,1,1,0,6,0,0,0,1,0,1,0,1,0,1,0,10,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,41,0,0,0,366,24
