1,2,3,4,5,6,7,8,9,10,11,12,13
2,2,40,68,1,64,4,1,0,0,0,1,0
10,0,20,69,1,64,4,1,0,0,0,1,0
46,1,51,33,1,4,1,1,2,2,1,1,1
84,2,37,55,1,19,2,1,2,2,1,1,1
90,1,0,62,1,0,3,1,2,2,1,1,1
99,2,41,66,1,50,3,1,2,2,1,1,1
98,1,51,67,1,60,3,1,2,2,1,1,1
83,2,39,55,1,21,2,2,2,2,1,1,1
81,0,23,54,1,47,2,1,1,2,2,1,1
69,0,21,50,1,58,2,1,2,2,2,1,1
91,0,16,65,1,56,3,1,2,2,2,1,1
29,1,22,23,1,0,1,1,2,2,2,2,1
71,0,25,51,1,43,2,1,2,2,2,2,1
79,0,31,53,1,24,4,1,2,2,2,2,1
105,3,49,58,1,64,4,1,2,2,2,2,1
61,2,46,43,2,25,1,1,2,2,1,1,2
63,2,40,44,1,26,1,1,2,2,1,1,2
5,2,45,58,1,36,1,1,2,2,1,1,2
87,1,10,60,1,2,2,1,2,2,1,1,2
72,1,0,53,1,17,2,1,2,2,1,1,2
56,1,11,40,2,23,4,1,2,2,1,1,2
85,0,27,57,1,32,2,1,1,2,2,1,2
52,0,27,38,1,33,1,1,2,2,2,1,2
3,2,43,53,1,31,1,1,2,2,1,3,2
80,1,12,54,1,39,1,1,1,2,2,3,2
78,1,47,53,1,46,2,2,1,2,2,3,2
92,1,53,64,1,38,2,1,1,2,1,1,3
88,1,5,60,1,45,2,1,1,2,1,1,3
67,0,30,47,2,42,1,2,1,2,1,1,3
95,0,30,61,1,42,2,2,1,2,1,1,3
4,2,44,62,1,28,1,1,2,2,1,1,3
106,1,14,60,1,59,2,1,2,2,2,1,3
101,1,2,56,1,27,2,2,1,2,1,3,3
9,0,34,58,1,5,2,1,1,2,2,3,3
93,0,26,63,1,62,2,1,1,2,2,3,3
6,0,32,58,1,29,1,2,1,2,2,3,3
7,0,33,45,2,64,4,1,0,2,0,1,4
22,1,7,18,2,64,1,0,2,1,0,0,5
25,2,42,20,2,64,1,1,0,2,0,0,5
26,1,1,21,2,64,1,1,0,2,0,0,5
17,1,36,14,2,0,1,2,2,1,2,0,5
28,0,33,22,2,64,1,1,2,2,0,1,5
48,1,5,34,2,41,4,1,2,2,0,1,5
89,2,39,61,1,53,4,1,2,2,0,1,5
49,0,30,34,2,51,1,1,1,2,1,1,5
